id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>単回帰分析において、目的変数yと説明変数xの関係性を一次関数 y=ax+b としたとき、パラメータ a,b の値を求める方法の1つが( ア )である。単回帰分析における( ア )では、データyと推定値 ax+b の差（残差）を最小化するようにパラメータ a,b の値を求める。<br>単回帰分析において、直線 y=ax+b の( イ )を回帰係数という。",(ア)最小二乗法 (イ)a,(ア)最尤法 (イ)a,(ア)最小二乗法 (イ)y,(ア)最尤法 (イ)y,A,【正解：A】<br>・(ア) 観測値と予測値のズレ（残差）の二乗和を最小にするようにパラメータを決める手法を **最小二乗法** と呼びます。<br>・(イ) 単回帰式 y=ax+b における傾き **a** を回帰係数（または偏回帰係数）と呼びます。<br>（最尤法は「尤度」を最大化する方法です）
2,データ集合のスケールを調整する方法の1つに、標準化という手法がある。観測値 xi が与えられた際、xi に対する標準化の計算式として、最も適切なものを選べ。<br>(ここでは xi の平均を μ、標準偏差を σ、最大値を xmax、最小値を xmin とする。),xi - μ,(xi - xmin) / (xmax - xmin),(xi - μ) / σ,(xi - xmax) / xmin,C,【正解：C】<br>・**標準化 (Standardization)**：平均を0、分散（標準偏差）を1にする変換。式は `(x - μ) / σ` です。<br>・Bの式 `(x - xmin) / (xmax - xmin)` は **正規化 (Normalization / Min-Max Scaling)** で、値を0から1の範囲に収める手法です。
3,"中古車の買取価格を予測するプロジェクトにおいて、以下のデータ項目のうち、説明変数として用いる際に「ダミー変数」に変換（ワンホットエンコーディング等）する必要のある項目として、最も適切なものを選べ。<br>【データ項目】<br>・製造年（2015, 2003...）<br>・買取価格（200000...）<br>・自動車の規格（軽自動車, コンパクトカー, ミニバン...）<br>・走行距離（30405...）<br>・排気量（655...）",走行距離,排気量,自動車の規格,すべて変換対象となる,C,【正解：C】<br>・「自動車の規格」は数値ではなく文字（カテゴリ）で表される **質的変数（名義尺度）** です。計算に使用するためには、ダミー変数（0や1の数値）に変換する必要があります。<br>・その他の項目はすべて **量的変数** なので、そのまま（あるいは正規化して）使用できます。
4,以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>1つの目的変数を複数の説明変数を用いて予測することを重回帰分析という。<br>重回帰分析においては、各変数における係数の推定値を偏回帰係数といい、( ア )を標準偏回帰係数という。また、目的変数の実測値と目的変数の推定値との間の相関係数を( イ )という。,(ア)データを標準化したうえで求めた偏回帰係数 (イ)重回帰係数,(ア)データを標準化したうえで求めた偏回帰係数 (イ)重相関係数,(ア)偏回帰係数の平均 (イ)重回帰係数,(ア)偏回帰係数の平均 (イ)重相関係数,B,【正解：B】<br>・(ア) 変数ごとの単位（スケール）の違いを排除して影響力を比較するために、データを標準化してから求めた係数を **標準偏回帰係数** と呼びます。<br>・(イ) モデルの当てはまりの良さを示す指標の一つで、実測値と予測値の相関係数を **重相関係数** と呼びます（これを2乗したものが決定係数です）。
5,ある二値分類モデルの予測結果において、混同行列が以下のようになった場合、特異度（Specificity）の値として最も適切なものを選べ。<br>・TN (True Negative): 2<br>・FP (False Positive): 3<br>・FN (False Negative): 1<br>・TP (True Positive): 4<br>（※解説：特異度は「実際は陰性のデータのうち、正しく陰性と予測できた割合」）,0.4,0.57,0.67,0.8,A,"【正解：A】<br>特異度（Specificity）の計算式は `TN / (TN + FP)` です。<br>問題の数値（TN=2, FP=3）を当てはめると、`2 / (2 + 3) = 2 / 5 = 0.4` となります。<br>ちなみに、再現率(Recall)は `TP/(TP+FN) = 0.8`、適合率(Precision)は `TP/(TP+FP) ≒ 0.57` です。"
6,"分類問題の評価指標において、混同行列の値を元に再現率(Recall)と適合率(Precision)を算出する式の組み合わせとして、最も適切なものを選べ。<br>(TP:真陽性, FP:偽陽性, FN:偽陰性, TN:真陰性)","Recall = TP/(TP+FN), Precision = TP/(TP+FP)","Recall = TP/(TP+FP), Precision = TP/(TP+FN)","Recall = TP/(TP+TN), Precision = TP/(TP+FN)","Recall = TP/(TP+FN), Precision = TP/(TP+TN)",A,【正解：A】<br>・**再現率 (Recall)**：病気の見逃しを防ぎたい場合などに重視。「実際に陽性のもののうち、陽性と当てた割合」なので分母は `TP+FN`（実際の陽性総数）。<br>・**適合率 (Precision)**：冤罪（誤検知）を防ぎたい場合などに重視。「陽性と予測したもののうち、本当に陽性だった割合」なので分母は `TP+FP`（予測した陽性総数）。
7,以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>回帰問題における性能評価指標として( ア )がある。( ア )はモデルの予測値と実際のデータの値の差(残差)の絶対値の平均として求める。<br>また、分類問題における性能評価指標として( イ )がある。( イ )はROC曲線の下部の面積として求める。,(ア)MAE (イ)AUC,(ア)MAE (イ)Accuracy,(ア)MSE (イ)AUC,(ア)MSE (イ)Accuracy,A,【正解：A】<br>・(ア) 差の絶対値の平均は **MAE (Mean Absolute Error)** です。（二乗の平均ならMSEです）<br>・(イ) ROC曲線の下側の面積は **AUC (Area Under the Curve)** と呼ばれ、1に近いほど性能が良いモデルとされます。
8,汎化誤差の小さいモデルを構築するために用いられる手法として、( ア )と( イ )がある。<br>・( ア )：データを事前に「訓練用」と「検証用」に分割し、検証用データで汎化誤差を評価する手法。<br>・( イ )：データを複数のグループに分け、訓練用と検証用を交代させながら（ローテーションしながら）汎化誤差を評価し、平均をとる手法。,(ア)交差検証法 (イ)ローテーション法,(ア)ホールドアウト法 (イ)ローテーション法,(ア)ホールドアウト法 (イ)交差検証法,(ア)ローテーション法 (イ)交差検証法,C,【正解：C】<br>・(ア) データを固定して分割する手法は **ホールドアウト法** です。<br>・(イ) データをK個に分割して役割を交代させていく手法は **交差検証法（クロスバリデーション）** です。「ローテーション法」という用語は機械学習の評価手法としては一般的ではありません。
9,時系列データの扱い方に関する記述として、最も適切でないものを選べ。,時系列データを用いて将来予測を行うモデルを作る場合、訓練データより過去のデータを検証データやテストデータとして用いてはならない,移動平均をとり、原系列を移動平均系列に変換することで、長期的な傾向を確認できる,原系列の差分をとると、長期的な傾向を確認できる,原系列に対して高速フーリエ変換を実行すると、原系列を異なる周波数成分に分解できる,C,【正解：C】<br>「差分（階差）」をとると、長期的なトレンドが除去され、短期的な変動（変化量）が強調されます。「長期的な傾向を確認できる」という記述は誤りです。<br>長期傾向を見るにはBの「移動平均」などが適しています。
10,機械学習の学習タイプに関する記述として、空欄ア〜ウに入る適切な語句を選べ。<br>機械学習において、( ア )学習を行う手法を教師あり学習という。また、( イ )学習を行う手法を教師なし学習という。このうち、クラスタリングは( ウ )に該当する。,(ア)教師ラベルを用いて (イ)教師ラベルを与えずに (ウ)教師なし学習,(ア)教師ラベルを用いて (イ)訓練データを与えずに (ウ)教師なし学習,(ア)シミュレーション環境を与えて (イ)訓練データを与えずに (ウ)教師あり学習,(ア)シミュレーション環境を与えて (イ)教師ラベルを与えずに (ウ)教師あり学習,A,【正解：A】<br>・**教師あり学習**：正解（教師ラベル）付きのデータで学習する（回帰、分類など）。<br>・**教師なし学習**：正解ラベルを与えず、データ構造そのものを学習する（クラスタリング、次元削減など）。
